"a__order_id","a__orderstatus","cp__orderlineid","f__orderlines__price","f__orderlines__quantity","r__campaigns","r__customers","r__products","d__date"
"10499-5GIA40",Delivered,"10499-5GIA40-3",298.20,1.00,,10499,"410",2017-11-02
"10084-5GYP15",Delivered,"10084-5GYP15-2",47.84,2.00,"10073",10084,"110",2018-12-15
"10564-9VKY29",Delivered,"10564-9VKY29-3",97.54,2.00,"10067",10564,"230",2018-08-14
"10206-1LOY48",Delivered,"10206-1LOY48-2",30.82,1.00,,10206,"140",2019-01-02
"10511-9JKN24",Delivered,"10511-9JKN24-1",130.06,1.00,"10073",10511,"210",2018-12-13
"10512-3SIM61",Delivered,"10512-3SIM61-1",30.10,1.00,,10512,"240",2017-09-02
"10066-5QKD20",Delivered,"10066-5QKD20-1",15.64,1.00,,10066,"340",2018-03-27
"10874-6WDL49",Delivered,"10874-6WDL49-1",77.17,1.00,,10874,"320",2017-01-08
"10241-0NMX51",Delivered,"10241-0NMX51-1",23.56,2.00,,10241,"150",2018-12-19
"10805-0STN70",Delivered,"10805-0STN70-4",65.98,1.00,,10805,"220",2017-07-27
"10290-1AVP94",Delivered,"10290-1AVP94-2",22.79,1.00,,10290,"240",2018-10-26
"10981-3JNX28",Delivered,"10981-3JNX28-1",641.79,1.00,,10981,"420",2018-10-23
"10655-9ONE27",Delivered,"10655-9ONE27-2",10.67,1.00,,10655,"340",2016-04-23
"10777-5DCI44",Delivered,"10777-5DCI44-1",30.39,1.00,,10777,"240",2017-03-23
"10637-6EBW45",Delivered,"10637-6EBW45-1",27.01,1.00,,10637,"240",2016-06-05
"10279-9CCU46",Delivered,"10279-9CCU46-2",223.09,2.00,,10279,"410",2019-03-07
"10026-2HVB33",Delivered,"10026-2HVB33-1",25.61,1.00,,10026,"140",2016-08-25
"10082-3WWI48",Delivered,"10082-3WWI48-1",19.45,1.00,,10082,"160",2017-02-03
"10985-4EDP00",Delivered,"10985-4EDP00-2",103.93,3.00,,10985,"230",2018-11-18
"10243-9DRO56",Delivered,"10243-9DRO56-6",46.11,1.00,"10030",10243,"110",2016-08-18
"10155-9RGU56",Delivered,"10155-9RGU56-2",22.14,1.00,,10155,"150",2015-04-02
"10464-9LGQ55",Delivered,"10464-9LGQ55-1",25.46,1.00,,10464,"240",2015-02-05
"10016-4ISI96",Delivered,"10016-4ISI96-3",20.42,4.00,,10016,"160",2018-08-05
"10319-9CKK53",Delivered,"10319-9CKK53-1",111.17,1.00,,10319,"330",2017-09-01
"10770-0GVA05",Delivered,"10770-0GVA05-1",29.77,1.00,,10770,"240",2016-06-25
"10637-9ZYJ84",Delivered,"10637-9ZYJ84-1",20.42,1.00,,10637,"160",2018-03-16
"10777-9UXF89",Delivered,"10777-9UXF89-3",16.92,1.00,"10073",10777,"160",2018-12-23
"10220-4ZDU74",Delivered,"10220-4ZDU74-4",57.49,1.00,"10014",10220,"230",2015-09-25
"10593-4HPT91",Delivered,"10593-4HPT91-1",19.06,1.00,,10593,"160",2018-02-06
"10243-9DRO56",Delivered,"10243-9DRO56-2",24.85,1.00,"10030",10243,"140",2016-08-18
"10205-5CZO91",Delivered,"10205-5CZO91-1",21.12,1.00,,10205,"160",2017-10-03
"10810-5QOM31",Delivered,"10810-5QOM31-2",123.87,1.00,,10810,"210",2017-08-10
"10976-9KZK51",Delivered,"10976-9KZK51-3",94.26,1.00,,10976,"230",2016-07-04
"10418-4ZVC89",Delivered,"10418-4ZVC89-2",35.25,1.00,"10062",10418,"240",2018-05-04
"10781-6YPJ56",Delivered,"10781-6YPJ56-1",50.31,1.00,,10781,"110",2017-10-07
"10209-4KVY89",Delivered,"10209-4KVY89-8",16.30,4.00,"10009",10209,"160",2015-06-20
"10420-9YUJ07",Delivered,"10420-9YUJ07-7",41.67,4.00,"10023",10420,"120",2016-03-22
"10270-7IRF83",Delivered,"10270-7IRF83-1",11.84,1.00,"10049",10270,"340",2017-09-02
"10535-8YKU57",Delivered,"10535-8YKU57-1",14.17,1.00,,10535,"340",2018-04-11
"10013-2FBF94",Delivered,"10013-2FBF94-1",12.22,1.00,,10013,"340",2017-03-05
"10662-5TFT12",Delivered,"10662-5TFT12-1",38.07,1.00,,10662,"120",2018-03-03
"10390-4FUQ88",Delivered,"10390-4FUQ88-2",32.86,1.00,"10075",10390,"240",2019-01-21
"10085-1DBM08",Delivered,"10085-1DBM08-1",54.99,1.00,,10085,"220",2017-10-28
"10831-6KEZ41",Delivered,"10831-6KEZ41-1",54.57,1.00,,10831,"220",2016-01-27
"10563-1XDP73",Delivered,"10563-1XDP73-1",12.82,1.00,"10002",10563,"340",2015-01-26
"10248-2JKF09",Delivered,"10248-2JKF09-1",24.50,1.00,,10248,"140",2017-05-27
"10156-5VQU02",Delivered,"10156-5VQU02-2",74.75,1.00,,10156,"230",2018-07-28
"10004-9JEJ88",Delivered,"10004-9JEJ88-2",32.59,2.00,,10004,"130",2015-03-26
"10634-6WKU54",Delivered,"10634-6WKU54-3",16.05,1.00,,10634,"160",2016-03-12
"10674-9HCW28",Delivered,"10674-9HCW28-1",21.73,1.00,,10674,"140",2015-12-23
"10310-5MFJ71",Delivered,"10310-5MFJ71-7",95.72,1.00,,10310,"230",2018-07-20
"10034-1RGZ13",Delivered,"10034-1RGZ13-1",80.39,1.00,,10034,"320",2015-04-20
"10703-4XNK24",Delivered,"10703-4XNK24-1",808.49,1.00,,10703,"430",2017-12-20
"10094-6MIU69",Delivered,"10094-6MIU69-3",92.99,1.00,,10094,"230",2018-11-27
"10095-4SGM12",Delivered,"10095-4SGM12-1",27.30,1.00,"10016",10095,"240",2015-11-11
"10886-1DOE05",Delivered,"10886-1DOE05-1",10.40,1.00,"10011",10886,"340",2015-07-22
"10946-3KYK02",Delivered,"10946-3KYK02-1",78.55,2.00,,10946,"230",2016-08-05
"10564-9VKY29",Delivered,"10564-9VKY29-1",38.51,4.00,"10067",10564,"120",2018-08-14
"10313-9JYI62",Delivered,"10313-9JYI62-7",21.73,1.00,,10313,"140",2015-12-01
"10245-4NEU97",Delivered,"10245-4NEU97-1",31.49,1.00,"10054",10245,"130",2017-12-04
"10593-1XPM01",Delivered,"10593-1XPM01-2",16.13,1.00,,10593,"160",2015-09-15
"10642-6PAG47",Delivered,"10642-6PAG47-1",30.10,1.00,,10642,"240",2017-12-10
"10873-5BYW21",Delivered,"10873-5BYW21-2",35.62,1.00,,10873,"130",2015-01-06
"10885-1VKP68",Delivered,"10885-1VKP68-1",82.69,3.00,,10885,"230",2016-11-19
"10576-3GVO33",Delivered,"10576-3GVO33-3",113.46,1.00,,10576,"330",2017-11-16
"10440-0LLY53",Delivered,"10440-0LLY53-1",31.03,3.00,,10440,"140",2018-06-03
"10024-8WIO35",Delivered,"10024-8WIO35-1",68.40,1.00,,10024,"320",2016-05-11
"10857-5EMQ57",Delivered,"10857-5EMQ57-1",37.42,2.00,,10857,"120",2015-10-20
"10945-0JHA26",Delivered,"10945-0JHA26-3",27.96,1.00,"10068",10945,"140",2018-09-12
"10588-7IBU25",Delivered,"10588-7IBU25-1",22.94,1.00,,10588,"150",2015-09-16
"10766-0TNR31",Delivered,"10766-0TNR31-1",38.31,1.00,,10766,"110",2015-01-08
"10777-9UXF89",Delivered,"10777-9UXF89-2",73.81,1.00,"10073",10777,"320",2018-12-23
"10066-0XRF75",Delivered,"10066-0XRF75-1",47.91,1.00,,10066,"110",2016-06-16
"10786-4BCZ27",Delivered,"10786-4BCZ27-2",33.50,2.00,"10077",10786,"240",2019-02-24
"10937-9KZU21",Delivered,"10937-9KZU21-1",22.21,1.00,,10937,"150",2017-06-21
"10593-1XJP96",Delivered,"10593-1XJP96-10",35.86,3.00,,10593,"240",2018-12-09
"10880-2TWV78",Delivered,"10880-2TWV78-1",20.03,1.00,,10880,"160",2018-07-03
"10561-8SFL74",Delivered,"10561-8SFL74-1",86.62,2.00,,10561,"230",2015-08-26
"10593-6UPT60",Delivered,"10593-6UPT60-2",16.63,2.00,,10593,"160",2015-12-26
"10860-4IAN11",Delivered,"10860-4IAN11-2",98.46,1.00,,10860,"210",2018-09-27
"10228-3FFQ05",Delivered,"10228-3FFQ05-2",27.12,1.00,,10228,"140",2018-08-12
"10985-9GGG74",Delivered,"10985-9GGG74-1",41.67,1.00,,10985,"120",2017-11-09
"10662-3XPR30",Delivered,"10662-3XPR30-1",17.16,1.00,,10662,"150",2015-12-21
"10822-3ZFI45",Delivered,"10822-3ZFI45-3",29.57,1.00,"10011",10822,"130",2015-07-20
"10054-5GXE58",Delivered,"10054-5GXE58-1",12.97,1.00,,10054,"340",2018-11-08
"10021-8RJB31",Delivered,"10021-8RJB31-2",13.34,1.00,,10021,"340",2019-02-10
"10074-2OJB08",Delivered,"10074-2OJB08-1",30.08,1.00,,10074,"240",2018-06-16
"10269-4FJM11",Delivered,"10269-4FJM11-2",27.49,1.00,,10269,"240",2017-06-21
"10245-3JTK44",Delivered,"10245-3JTK44-1",39.64,1.00,,10245,"130",2017-10-24
"10220-4ZDU74",Delivered,"10220-4ZDU74-7",15.96,1.00,"10014",10220,"160",2015-09-25
"10099-8BNO87",Delivered,"10099-8BNO87-1",42.72,1.00,,10099,"110",2017-06-08
"10578-0ITF03",Delivered,"10578-0ITF03-3",69.53,1.00,,10578,"320",2017-03-20
"10693-6KRD46",Delivered,"10693-6KRD46-4",42.23,1.00,,10693,"130",2017-09-08
"10787-9CEW71",Delivered,"10787-9CEW71-7",11.77,1.00,,10787,"340",2018-12-12
"10057-0ZSA85",Delivered,"10057-0ZSA85-3",108.05,1.00,,10057,"210",2016-10-21
"10894-1LPP92",Delivered,"10894-1LPP92-3",13.24,1.00,,10894,"340",2018-05-12
"10353-6FCY13",Delivered,"10353-6FCY13-2",20.61,1.00,"10074",10353,"150",2019-01-07
"10883-3BKK66",Delivered,"10883-3BKK66-2",106.96,1.00,,10883,"210",2018-12-16
"10833-8VSB69",Delivered,"10833-8VSB69-1",14.31,1.00,,10833,"340",2018-04-13
"10391-4UIS76",Delivered,"10391-4UIS76-8",51.98,4.00,,10391,"220",2015-03-17
"10346-1DEW05",Delivered,"10346-1DEW05-2",28.80,1.00,,10346,"140",2018-04-04
"10731-8OFX33",Delivered,"10731-8OFX33-1",36.47,1.00,"10062",10731,"240",2018-05-12
"10930-9LCE29",Delivered,"10930-9LCE29-1",20.90,1.00,,10930,"150",2017-09-05
"10186-7GEQ62",Delivered,"10186-7GEQ62-4",94.76,1.00,,10186,"230",2019-02-03
"10778-2CTK95",Delivered,"10778-2CTK95-4",103.69,1.00,,10778,"330",2016-05-21
"10165-4YOE64",Delivered,"10165-4YOE64-6",25.29,1.00,"10054",10165,"140",2017-12-02
"10797-9NCW51",Delivered,"10797-9NCW51-3",19.64,1.00,,10797,"160",2018-11-05
"10950-6NIR86",Delivered,"10950-6NIR86-2",12.30,2.00,"10063",10950,"340",2018-05-28
"10500-8ZLA24",Delivered,"10500-8ZLA24-1",58.98,1.00,,10500,"220",2016-12-23
"10910-1DBC51",Delivered,"10910-1DBC51-1",27.12,1.00,,10910,"140",2018-10-19
"10260-4BAH16",Delivered,"10260-4BAH16-1",121.15,1.00,,10260,"330",2016-08-01
"10616-2AKC84",Delivered,"10616-2AKC84-5",88.56,1.00,,10616,"230",2017-03-18
"10975-2ANU12",Delivered,"10975-2ANU12-2",40.75,1.00,,10975,"130",2017-07-03
"10513-4PJZ59",Delivered,"10513-4PJZ59-2",25.08,1.00,,10513,"240",2016-09-17
"10593-1XJP96",Delivered,"10593-1XJP96-5",301.93,2.00,,10593,"410",2018-12-09
"10460-5KKA06",Delivered,"10460-5KKA06-1",21.02,1.00,,10460,"150",2018-08-03
"10094-2DUV92",Delivered,"10094-2DUV92-1",89.02,1.00,,10094,"230",2019-02-03
"10976-9KZK51",Delivered,"10976-9KZK51-2",21.37,1.00,,10976,"150",2016-07-04
"10392-2KUF61",Delivered,"10392-2KUF61-2",231.64,1.00,,10392,"410",2017-07-12
"10037-5KYR20",Delivered,"10037-5KYR20-2",16.63,2.00,"10002",10037,"160",2015-01-16
"10346-9DKD48",Delivered,"10346-9DKD48-3",56.72,1.00,,10346,"220",2017-10-25
"10082-7XWO26",Delivered,"10082-7XWO26-2",13.74,1.00,,10082,"340",2015-09-10
"10465-8TAA27",Delivered,"10465-8TAA27-3",18.70,1.00,"10045",10465,"150",2017-06-01
"10210-4UHR88",Delivered,"10210-4UHR88-1",16.63,1.00,"10072",10210,"150",2018-11-25
"10332-6KZQ20",Delivered,"10332-6KZQ20-4",24.25,1.00,,10332,"150",2018-02-20
"10086-2SZC56",Delivered,"10086-2SZC56-9",56.18,1.00,,10086,"220",2015-11-23
"10533-1BPO13",Delivered,"10533-1BPO13-2",60.17,2.00,,10533,"220",2018-06-19
"10040-7VKW38",Delivered,"10040-7VKW38-2",23.96,1.00,,10040,"140",2017-05-05
"10425-6ZGY54",Delivered,"10425-6ZGY54-1",114.32,1.00,,10425,"330",2018-02-20
"10306-3FRD98",Delivered,"10306-3FRD98-3",45.09,1.00,,10306,"110",2017-05-14
"10157-1HAO57",Delivered,"10157-1HAO57-2",13.64,1.00,,10157,"340",2018-11-02
