order_date,order_id,customer_id,category,price,quantity
2014/10/03,HTS-707341-0003,707341,Shorts,19.0,3
2014/01/02,HTS-108837-0001,108837,Shorts,19.0,1
2015/09/08,HTS-pq3m7c-0001,pq3m7c,Polo Shirt,23.0,1
2016/12/19,HTS-0lkdil-0002,0lkdil,T-Shirt,17.5,1
2013/12/20,HTS-601106-0001,601106,Polo Shirt,23.0,16
2015/09/30,HTS-0jkgoq-0001,0jkgoq,Shorts,19.0,3
2014/09/02,HTS-495349-0001,495349,Polo Shirt,23.0,1
2016/08/02,HTS-187179-0001,187179,Skirt,18.0,1
2016/01/31,HTS-2y07r3-0002,2y07r3,Pullover,24.0,2
2015/08/02,HTS-318409-0001,318409,Shorts,19.0,1
2015/10/12,HTS-732802-0003,732802,Skirt,18.0,2
2016/02/21,HTS-750705-0001,750705,Slacks,20.0,1
2014/09/15,HTS-964210-0002,964210,T-Shirt,17.5,1
2015/12/13,HTS-f5soew-0001,f5soew,Polo Shirt,23.0,2
2014/12/09,HTS-308735-0001,308735,Slacks,20.0,2
2015/06/23,HTS-162811-0002,162811,Shorts,19.0,3
2017/02/25,HTS-240712-0006,240712,Pullover,24.0,2
2016/02/10,HTS-0pgrbi-0002,0pgrbi,Polo Shirt,23.0,3
2014/02/01,HTS-071858-0001,071858,Slacks,20.0,3
2015/10/18,HTS-k2st8f-0001,k2st8f,T-Shirt,17.5,4
2014/05/20,HTS-637773-0001,637773,T-Shirt,17.5,3
2014/11/12,HTS-483739-0001,483739,Slacks,20.0,2
2015/08/18,HTS-6hmdy8-0001,6hmdy8,T-Shirt,17.5,4
2013/08/26,HTS-760379-0001,760379,Polo Shirt,23.0,1
2014/11/06,HTS-293211-0001,293211,Skirt,18.0,2
2014/07/22,HTS-823002-0001,823002,Slacks,20.0,2
2015/01/28,HTS-710433-0001,710433,Skirt,18.0,1
2015/12/09,HTS-636741-0002,636741,Polo Shirt,23.0,1
2016/05/03,HTS-798156-0003,798156,Shorts,19.0,1
2014/08/16,HTS-353872-0001,353872,Slacks,20.0,1
2016/12/06,HTS-kuqsq1-0002,kuqsq1,T-Shirt,17.5,1
2016/11/11,HTS-bv8gw3-0001,bv8gw3,Shorts,19.0,1
2015/09/22,HTS-33e51w-0001,33e51w,Skirt,18.0,7
2015/11/30,HTS-834127-0001,834127,Skirt,18.0,1
2016/08/22,HTS-3uouz3-0001,3uouz3,Slacks,20.0,1
2015/08/12,HTS-grd2ue-0001,grd2ue,Polo Shirt,23.0,2
2014/01/27,HTS-495119-0001,495119,Pullover,24.0,1
2016/11/25,HTS-vz1jgr-0001,vz1jgr,Skirt,18.0,2
2016/04/13,HTS-075826-0003,075826,Slacks,20.0,1
2015/03/12,HTS-958838-0001,958838,Slacks,20.0,2
2015/12/25,HTS-301810-0003,301810,Polo Shirt,23.0,3
2015/01/31,HTS-818286-0001,818286,Polo Shirt,23.0,1
2015/10/17,HTS-601868-0005,601868,Shorts,19.0,1
2015/05/01,HTS-917138-0002,917138,Slacks,20.0,2
2016/08/08,HTS-lby2fl-0001,lby2fl,Slacks,20.0,1
2015/10/15,HTS-vajch6-0001,vajch6,T-Shirt,17.5,1
2016/01/30,HTS-019747-0001,019747,Skirt,18.0,1
2016/10/21,HTS-797630-0004,797630,T-Shirt,17.5,2
2016/12/27,HTS-moudrf-0003,moudrf,Skirt,18.0,4
2014/10/27,HTS-116680-0001,116680,T-Shirt,17.5,1
2016/09/20,HTS-5j3r5q-0001,5j3r5q,Slacks,20.0,1
2014/09/25,HTS-882780-0002,882780,Shorts,19.0,1
2015/12/02,HTS-521731-0003,521731,Slacks,20.0,2
2016/10/16,HTS-qgqhv6-0001,qgqhv6,Skirt,18.0,1
2015/07/22,HTS-ar83mg-0001,ar83mg,Pullover,24.0,2
2017/01/03,HTS-442064-0003,442064,Slacks,20.0,1
2013/12/13,HTS-286810-0002,286810,T-Shirt,17.5,1
2014/11/10,HTS-273332-0001,273332,Slacks,20.0,1
2016/07/14,HTS-397705-0001,397705,Shorts,19.0,1
2015/04/18,HTS-916341-0002,916341,Polo Shirt,23.0,2
2014/10/14,HTS-481997-0001,481997,T-Shirt,17.5,3
2015/12/09,HTS-877835-0002,877835,Polo Shirt,23.0,3
2017/01/27,HTS-mzfgyu-0004,mzfgyu,T-Shirt,17.5,2
2016/08/06,HTS-w6nkip-0001,w6nkip,Shorts,19.0,1
2017/02/08,HTS-173007-0003,173007,Pullover,24.0,3
2017/02/13,HTS-6ipkrh-0002,6ipkrh,T-Shirt,17.5,3
2016/04/05,HTS-751922-0001,751922,Slacks,20.0,1
2014/11/26,HTS-396526-0001,396526,Polo Shirt,23.0,1
2014/12/21,HTS-378351-0001,378351,Shorts,19.0,1
2015/06/01,HTS-426579-0003,426579,Pullover,24.0,4
2015/11/05,HTS-pqtpnh-0001,pqtpnh,Shorts,19.0,2
2015/12/20,HTS-919747-0004,919747,Skirt,18.0,2
2016/03/25,HTS-9cuan5-0001,9cuan5,Slacks,20.0,1
2015/03/11,HTS-842157-0002,842157,Shorts,19.0,5
2017/02/23,HTS-867868-0002,867868,Skirt,18.0,1
2013/09/22,HTS-279650-0001,279650,Polo Shirt,23.0,1
2013/12/20,HTS-570589-0001,570589,Slacks,20.0,1
2014/12/17,HTS-512205-0002,512205,Slacks,20.0,6
2015/12/30,HTS-ggj8vc-0001,ggj8vc,Skirt,18.0,1
2017/03/17,HTS-671947-0003,671947,Polo Shirt,23.0,2
2017/02/12,HTS-771496-0001,771496,Polo Shirt,23.0,1
2016/03/08,HTS-007955-0001,007955,Pullover,24.0,1
2016/10/26,HTS-738171-0005,738171,Shorts,19.0,3
2017/02/15,HTS-412242-0004,412242,Slacks,20.0,2
2015/10/04,HTS-469269-0003,469269,Slacks,20.0,2
2017/01/27,HTS-410722-0001,410722,Slacks,20.0,1
2015/03/20,HTS-995267-0002,995267,Skirt,18.0,5
2015/12/28,HTS-103700-0003,103700,Slacks,20.0,1
2014/12/09,HTS-166680-0001,166680,Slacks,20.0,16
2016/11/11,HTS-907613-0002,907613,Pullover,24.0,1
2013/09/29,HTS-820263-0001,820263,Polo Shirt,23.0,9
2014/09/11,HTS-689555-0002,689555,Polo Shirt,23.0,3
2015/09/07,HTS-006743-0002,006743,T-Shirt,17.5,1
2013/08/19,HTS-534052-0001,534052,Shorts,19.0,1
2017/02/05,HTS-u1b11m-0002,u1b11m,Slacks,20.0,1
2016/08/01,HTS-697637-0003,697637,Skirt,18.0,1
2015/06/26,HTS-411983-0003,411983,Slacks,20.0,2
2016/01/25,HTS-611054-0001,611054,Polo Shirt,23.0,1
2016/07/01,HTS-865156-0003,865156,Slacks,20.0,2
2016/10/11,HTS-290417-0002,290417,Slacks,20.0,2
2017/01/20,HTS-261777-0003,261777,Polo Shirt,23.0,14
2017/03/14,HTS-030004-0001,030004,Polo Shirt,23.0,1
2017/02/02,HTS-766952-0005,766952,Slacks,20.0,3
2015/12/27,HTS-b0hok2-0001,b0hok2,Shorts,19.0,3
2014/08/25,HTS-499669-0001,499669,Polo Shirt,23.0,1
2016/09/19,HTS-vqcn42-0002,vqcn42,Slacks,20.0,2
2013/11/06,HTS-192588-0001,192588,Polo Shirt,23.0,2
2015/08/28,HTS-465652-0004,465652,Skirt,18.0,14
2017/02/11,HTS-u7qthj-0003,u7qthj,Slacks,20.0,3
2016/06/01,HTS-kbyw6j-0001,kbyw6j,Slacks,20.0,4
2013/08/02,HTS-148331-0001,148331,Pullover,24.0,3
2014/08/05,HTS-702063-0002,702063,Skirt,18.0,2
2016/10/22,HTS-441110-0001,441110,Skirt,18.0,1
2016/08/31,HTS-tsgo24-0002,tsgo24,Polo Shirt,23.0,1
2014/10/22,HTS-945715-0002,945715,Skirt,18.0,2
2015/08/07,HTS-a3jj90-0001,a3jj90,Skirt,18.0,1
2015/07/01,HTS-424554-0003,424554,Skirt,18.0,5
2014/10/29,HTS-919413-0001,919413,Skirt,18.0,2
2015/11/02,HTS-7xehc3-0001,7xehc3,Polo Shirt,23.0,2
2016/06/19,HTS-9pw0o5-0001,9pw0o5,Polo Shirt,23.0,2
2016/02/03,HTS-110892-0002,110892,Polo Shirt,23.0,25
2017/02/09,HTS-2osl9i-0002,2osl9i,Skirt,18.0,2
2016/12/17,HTS-wst4iq-0002,wst4iq,Pullover,24.0,4
2014/05/20,HTS-958225-0002,958225,Skirt,18.0,2
2015/12/01,HTS-015745-0003,015745,Polo Shirt,23.0,3
2016/12/29,HTS-131918-0006,131918,Skirt,18.0,3
2015/02/12,HTS-172798-0002,172798,T-Shirt,17.5,17
2015/04/12,HTS-078015-0002,078015,Skirt,18.0,2
2016/08/16,HTS-462640-0003,462640,Polo Shirt,23.0,1
2016/01/13,HTS-414126-0005,414126,Pullover,24.0,2
2016/04/12,HTS-915912-0005,915912,Shorts,19.0,4
2016/08/12,HTS-318044-0002,318044,Polo Shirt,23.0,1
2017/02/21,HTS-548687-0004,548687,Polo Shirt,23.0,4
2017/03/28,HTS-u1jc9a-0001,u1jc9a,Slacks,20.0,1
2013/09/07,HTS-319455-0001,319455,Slacks,20.0,2
2016/11/15,HTS-sievog-0002,sievog,Slacks,20.0,2
2014/10/17,HTS-158219-0004,158219,T-Shirt,17.5,2
2016/06/03,HTS-zbupdg-0001,zbupdg,Slacks,20.0,1
2014/10/24,HTS-599003-0001,599003,Shorts,19.0,2
2014/09/23,HTS-545953-0001,545953,Slacks,20.0,1
2014/10/05,HTS-346170-0001,346170,T-Shirt,17.5,2
2013/11/22,HTS-485440-0001,485440,Slacks,20.0,3
2017/03/01,HTS-310310-0004,310310,Shorts,19.0,1
2015/07/16,HTS-059199-0002,059199,T-Shirt,17.5,1
2017/03/07,HTS-9hab0r-0002,9hab0r,Pullover,24.0,1
2014/12/15,HTS-545732-0003,545732,T-Shirt,17.5,1
2014/10/02,HTS-768228-0001,768228,T-Shirt,17.5,3
2017/03/15,HTS-852981-0004,852981,T-Shirt,17.5,4
2016/12/01,HTS-562002-0001,562002,T-Shirt,17.5,1
2016/07/11,HTS-769301-0002,769301,Slacks,20.0,1
2015/08/13,HTS-718227-0001,718227,Shorts,19.0,1
2013/10/03,HTS-293235-0001,293235,Shorts,19.0,1
2015/12/29,HTS-491676-0002,491676,Slacks,20.0,1
2014/07/27,HTS-635408-0002,635408,Pullover,24.0,16
2014/09/18,HTS-294526-0001,294526,T-Shirt,17.5,2
2015/08/31,HTS-089402-0003,089402,Slacks,20.0,2
2016/07/14,HTS-198056-0001,198056,Slacks,20.0,1
2015/08/25,HTS-011861-0002,011861,T-Shirt,17.5,4
2016/09/03,HTS-074702-0005,074702,Slacks,20.0,1
2014/12/19,HTS-159976-0001,159976,Polo Shirt,23.0,19
2014/12/20,HTS-249873-0001,249873,Skirt,18.0,2
2015/09/11,HTS-398537-0001,398537,Skirt,18.0,1
2016/06/15,HTS-1707t4-0002,1707t4,Polo Shirt,23.0,2
2014/01/14,HTS-486520-0002,486520,Skirt,18.0,5
2015/07/21,HTS-550064-0002,550064,Slacks,20.0,1
2016/01/10,HTS-426512-0003,426512,Skirt,18.0,2
2014/12/24,HTS-166597-0004,166597,Polo Shirt,23.0,3
2016/10/27,HTS-m2kwxv-0002,m2kwxv,Shorts,19.0,2
2016/01/08,HTS-608352-0003,608352,T-Shirt,17.5,2
2013/05/15,HTS-266260-0001,266260,Slacks,20.0,1
2016/06/25,HTS-266260-0009,266260,Polo Shirt,23.0,1
2015/04/30,HTS-829093-0002,829093,Slacks,20.0,4
2015/04/12,HTS-398359-0002,398359,Pullover,24.0,3
2016/05/10,HTS-925489-0002,925489,Polo Shirt,23.0,2
2016/02/05,HTS-919932-0003,919932,Polo Shirt,23.0,1
2015/10/03,HTS-124562-0004,124562,Skirt,18.0,2
2016/06/30,HTS-801694-0003,801694,Shorts,19.0,2
2014/01/12,HTS-173291-0001,173291,Slacks,20.0,1
2015/12/11,HTS-res9z8-0001,res9z8,Slacks,20.0,2
2017/01/03,HTS-146030-0001,146030,Slacks,20.0,1
2017/01/17,HTS-172689-0006,172689,Skirt,18.0,2
2014/03/18,HTS-987945-0001,987945,T-Shirt,17.5,12
2017/04/06,HTS-btom5o-0004,btom5o,Polo Shirt,23.0,3
2013/11/24,HTS-445629-0001,445629,Polo Shirt,23.0,1
2017/03/30,HTS-378589-0004,378589,Slacks,20.0,3
2013/08/22,HTS-528606-0001,528606,T-Shirt,17.5,1
2014/10/24,HTS-129344-0001,129344,Skirt,18.0,1
2016/08/04,HTS-155114-0004,155114,Skirt,18.0,3
2016/11/17,HTS-312886-0005,312886,Polo Shirt,23.0,3
2014/08/14,HTS-871783-0002,871783,Shorts,19.0,1
2016/07/13,HTS-1v2h8p-0001,1v2h8p,Polo Shirt,23.0,1
2016/12/15,HTS-260176-0006,260176,Polo Shirt,23.0,1
2014/12/19,HTS-616717-0001,616717,Skirt,18.0,1
2014/11/07,HTS-032960-0002,032960,Shorts,19.0,4
2014/02/18,HTS-452492-0002,452492,Polo Shirt,23.0,5
2017/03/12,HTS-984757-0003,984757,Polo Shirt,23.0,2
2016/09/25,HTS-237703-0004,237703,Polo Shirt,23.0,3
2017/01/20,HTS-606234-0001,606234,Polo Shirt,23.0,1
2014/10/04,HTS-327970-0001,327970,Shorts,19.0,1
2015/07/17,HTS-517744-0002,517744,Pullover,24.0,1
2016/05/14,HTS-941775-0001,941775,Shorts,19.0,1
2013/11/14,HTS-885251-0001,885251,Shorts,19.0,1
2016/03/02,HTS-273158-0004,273158,Slacks,20.0,1
2014/11/18,HTS-371882-0001,371882,Pullover,24.0,1
2014/09/07,HTS-019607-0002,019607,Polo Shirt,23.0,12
2016/09/17,HTS-554203-0005,554203,Polo Shirt,23.0,1
2016/09/17,HTS-534111-0001,534111,Slacks,20.0,1
2016/08/24,HTS-748366-0003,748366,Polo Shirt,23.0,4
2014/04/01,HTS-246805-0002,246805,Polo Shirt,23.0,1
2016/08/31,HTS-hzh8yf-0002,hzh8yf,Shorts,19.0,4
2013/11/21,HTS-368240-0001,368240,Shorts,19.0,2
2014/10/06,HTS-296958-0001,296958,Slacks,20.0,1
2015/12/07,HTS-885508-0002,885508,T-Shirt,17.5,1
2014/12/28,HTS-672641-0003,672641,Slacks,20.0,4
2016/06/09,HTS-656327-0002,656327,Pullover,24.0,1
2015/12/27,HTS-fzpzqy-0001,fzpzqy,Polo Shirt,23.0,1
2015/05/11,HTS-179914-0002,179914,Shorts,19.0,2
2016/08/27,HTS-976279-0003,976279,Pullover,24.0,3
2016/12/30,HTS-2loire-0003,2loire,Polo Shirt,23.0,6
2015/09/11,HTS-wa3q8y-0001,wa3q8y,Slacks,20.0,1
2015/02/07,HTS-474660-0001,474660,Polo Shirt,23.0,1
2017/02/10,HTS-1f088i-0002,1f088i,Slacks,20.0,2
2015/05/16,HTS-919862-0001,919862,Polo Shirt,23.0,1
2015/11/24,HTS-361486-0004,361486,Polo Shirt,23.0,6
2015/11/12,HTS-789469-0001,789469,Shorts,19.0,1
2015/06/09,HTS-611736-0002,611736,Polo Shirt,23.0,4
2016/03/04,HTS-479670-0006,479670,Skirt,18.0,4
2016/03/21,HTS-670684-0004,670684,Polo Shirt,23.0,1
2016/02/16,HTS-233699-0001,233699,Skirt,18.0,1
2013/08/23,HTS-765374-0001,765374,Shorts,19.0,17
2016/02/03,HTS-125018-0003,125018,Polo Shirt,23.0,1
2014/11/18,HTS-665949-0001,665949,Polo Shirt,23.0,1
2014/06/15,HTS-028315-0002,028315,Pullover,24.0,26
2013/11/12,HTS-969379-0001,969379,Polo Shirt,23.0,2
2013/11/02,HTS-695667-0001,695667,Slacks,20.0,2
2014/07/30,HTS-044566-0001,044566,Polo Shirt,23.0,1
2014/08/18,HTS-492469-0001,492469,Slacks,20.0,2
2017/01/06,HTS-753492-0003,753492,Skirt,18.0,1
2016/03/17,HTS-637104-0003,637104,Skirt,18.0,1
2016/11/06,HTS-190781-0005,190781,Skirt,18.0,1
2017/03/04,HTS-906983-0002,906983,Polo Shirt,23.0,1
2016/10/10,HTS-384772-0003,384772,Polo Shirt,23.0,3
2014/08/13,HTS-882589-0002,882589,Pullover,24.0,2
2014/06/07,HTS-059385-0002,059385,Slacks,20.0,3
2017/01/04,HTS-4qix82-0003,4qix82,T-Shirt,17.5,4
2013/11/06,HTS-458802-0001,458802,T-Shirt,17.5,1
2016/06/10,HTS-332132-0004,332132,Slacks,20.0,4
2016/07/18,HTS-504073-0004,504073,Slacks,20.0,3
2014/01/19,HTS-052860-0001,052860,Shorts,19.0,1
2016/12/07,HTS-byn6mv-0002,byn6mv,Polo Shirt,23.0,2
2015/08/12,HTS-566315-0001,566315,T-Shirt,17.5,1
2016/01/10,HTS-459652-0005,459652,Polo Shirt,23.0,4
2014/07/23,HTS-085677-0001,085677,Polo Shirt,23.0,6
2015/09/20,HTS-vmboe9-0001,vmboe9,Polo Shirt,23.0,1
2015/09/06,HTS-566470-0002,566470,T-Shirt,17.5,17
2015/11/01,HTS-cobf5d-0001,cobf5d,Skirt,18.0,1
2015/10/20,HTS-017071-0001,017071,Pullover,24.0,1
2015/08/01,HTS-yqpwhc-0001,yqpwhc,Shorts,19.0,3
2016/08/01,HTS-644113-0005,644113,Skirt,18.0,2
2014/07/05,HTS-665696-0001,665696,Pullover,24.0,1
2014/11/16,HTS-332848-0001,332848,T-Shirt,17.5,1
2016/09/04,HTS-xjcd70-0002,xjcd70,Shorts,19.0,9
2017/01/18,HTS-983165-0003,983165,T-Shirt,17.5,2
2016/07/27,HTS-247365-0003,247365,Skirt,18.0,1
2014/12/01,HTS-585921-0001,585921,T-Shirt,17.5,1
2016/03/02,HTS-691149-0001,691149,Pullover,24.0,1
2015/09/15,HTS-598776-0003,598776,Shorts,19.0,2
2016/08/03,HTS-566318-0003,566318,Slacks,20.0,1
2014/08/09,HTS-657578-0002,657578,Polo Shirt,23.0,3
2016/05/31,HTS-959488-0002,959488,Polo Shirt,23.0,1
2014/12/26,HTS-087878-0003,087878,Polo Shirt,23.0,2
2015/10/16,HTS-o2b1x4-0001,o2b1x4,Skirt,18.0,1
2015/04/22,HTS-160588-0002,160588,Skirt,18.0,1
2016/11/26,HTS-4nrxa9-0002,4nrxa9,Slacks,20.0,1
2015/01/07,HTS-847108-0003,847108,Polo Shirt,23.0,3
2017/03/03,HTS-271088-0004,271088,Polo Shirt,23.0,4
2015/12/27,HTS-fdc856-0001,fdc856,Pullover,24.0,1
2015/07/16,HTS-839170-0002,839170,T-Shirt,17.5,2
2017/01/29,HTS-065414-0006,065414,Polo Shirt,23.0,1
2015/11/09,HTS-825859-0001,825859,Polo Shirt,23.0,1
2015/07/17,HTS-581066-0002,581066,Slacks,20.0,1
2017/04/05,HTS-412541-0006,412541,Shorts,19.0,22
2016/11/17,HTS-xreqxp-0003,xreqxp,Polo Shirt,23.0,2
2014/01/27,HTS-553303-0002,553303,Slacks,20.0,2
2016/10/04,HTS-012726-0003,012726,Slacks,20.0,21
2014/07/25,HTS-842191-0002,842191,Shorts,19.0,1
2013/08/19,HTS-194288-0001,194288,Polo Shirt,23.0,1
2014/09/16,HTS-839037-0001,839037,Slacks,20.0,2
2014/08/27,HTS-359004-0001,359004,Slacks,20.0,1
2016/12/20,HTS-10lgps-0001,10lgps,T-Shirt,17.5,2
2014/06/05,HTS-086618-0003,086618,Slacks,20.0,1
2014/08/22,HTS-627880-0001,627880,Skirt,18.0,3
2015/12/07,HTS-378981-0003,378981,Polo Shirt,23.0,5
2016/03/05,HTS-l3jw2e-0002,l3jw2e,Slacks,20.0,1
2015/12/22,HTS-953361-0002,953361,Polo Shirt,23.0,2
2015/10/30,HTS-661692-0003,661692,Shorts,19.0,5
2015/08/24,HTS-g3snxu-0001,g3snxu,Pullover,24.0,1
2015/01/11,HTS-065097-0002,065097,Slacks,20.0,3
2016/12/19,HTS-656448-0001,656448,Shorts,19.0,1
2013/12/10,HTS-234080-0001,234080,Skirt,18.0,1
2015/08/26,HTS-327857-0004,327857,Skirt,18.0,2
2016/12/20,HTS-00q4am-0006,00q4am,Slacks,20.0,1
2014/09/26,HTS-083761-0002,083761,T-Shirt,17.5,1
2016/05/01,HTS-855597-0003,855597,Slacks,20.0,1
2016/07/18,HTS-344964-0005,344964,Slacks,20.0,1
2015/08/24,HTS-q4zelp-0001,q4zelp,Skirt,18.0,1
2014/12/04,HTS-109608-0001,109608,Polo Shirt,23.0,1
2015/09/11,HTS-sgwuna-0001,sgwuna,Polo Shirt,23.0,1
2016/03/23,HTS-297527-0002,297527,Slacks,20.0,1
2013/09/24,HTS-676104-0001,676104,Skirt,18.0,1
2016/10/08,HTS-421098-0005,421098,Slacks,20.0,2
2014/03/14,HTS-477414-0001,477414,Skirt,18.0,1
2016/10/27,HTS-estvcf-0003,estvcf,Shorts,19.0,4
2016/04/25,HTS-147806-0003,147806,Skirt,18.0,1
2013/12/12,HTS-197980-0001,197980,Slacks,20.0,1
2015/07/13,HTS-685960-0002,685960,Skirt,18.0,1
2016/02/08,HTS-656559-0001,656559,T-Shirt,17.5,1
2013/11/13,HTS-436635-0001,436635,Polo Shirt,23.0,1
2016/02/11,HTS-xb486l-0002,xb486l,T-Shirt,17.5,3
2016/08/30,HTS-481306-0006,481306,Shorts,19.0,1
2016/10/30,HTS-403510-0001,403510,Polo Shirt,23.0,1
2014/09/03,HTS-971597-0001,971597,Shorts,19.0,1
2016/06/10,HTS-043492-0003,043492,Slacks,20.0,2
2015/12/19,HTS-lj9q1g-0001,lj9q1g,Skirt,18.0,1
2014/12/08,HTS-157425-0002,157425,Slacks,20.0,2
2015/12/01,HTS-x6qc1d-0001,x6qc1d,T-Shirt,17.5,1
2016/03/17,HTS-812419-0003,812419,Polo Shirt,23.0,2
2015/08/20,HTS-0dw77z-0001,0dw77z,Slacks,20.0,2
2016/10/27,HTS-560960-0001,560960,Polo Shirt,23.0,1
2015/07/03,HTS-380538-0003,380538,Skirt,18.0,2
2014/07/22,HTS-362544-0002,362544,Slacks,20.0,1
2017/01/20,HTS-ol2hiq-0003,ol2hiq,Shorts,19.0,2
2016/11/29,HTS-398958-0005,398958,Slacks,20.0,1
2015/09/17,HTS-994126-0002,994126,Skirt,18.0,1
2015/12/18,HTS-8pemkt-0001,8pemkt,T-Shirt,17.5,1
2014/10/08,HTS-594313-0001,594313,Slacks,20.0,3
2017/01/11,HTS-223374-0001,223374,Pullover,24.0,1
2016/12/31,HTS-w99by7-0003,w99by7,Skirt,18.0,2
2016/08/05,HTS-988653-0002,988653,Polo Shirt,23.0,1
2016/07/06,HTS-463199-0006,463199,T-Shirt,17.5,1
2016/11/09,HTS-5tuc61-0003,5tuc61,Skirt,18.0,4
2015/07/18,HTS-450838-0002,450838,Polo Shirt,23.0,1
2016/10/22,HTS-1w6ahu-0001,1w6ahu,Polo Shirt,23.0,1
2014/12/12,HTS-823834-0001,823834,Polo Shirt,23.0,3
2013/08/29,HTS-253896-0001,253896,Pullover,24.0,1
2016/09/20,HTS-039772-0005,039772,Shorts,19.0,3
2013/05/29,HTS-006555-0001,006555,Polo Shirt,23.0,3
2014/11/23,HTS-235709-0002,235709,Shorts,19.0,2
2014/10/01,HTS-754349-0001,754349,Polo Shirt,23.0,2
2015/08/08,HTS-fyxrw6-0001,fyxrw6,Shorts,19.0,1
2016/01/18,HTS-564918-0003,564918,Shorts,19.0,1
2016/04/07,HTS-929474-0006,929474,Pullover,24.0,2
2016/07/18,HTS-095834-0004,095834,Slacks,20.0,3
2015/06/24,HTS-307845-0005,307845,Polo Shirt,23.0,3
2015/01/01,HTS-763390-0003,763390,Pullover,24.0,5
2016/04/10,HTS-235445-0002,235445,Skirt,18.0,2
2014/06/17,HTS-549066-0001,549066,Skirt,18.0,1
2016/11/20,HTS-h7z848-0002,h7z848,Slacks,20.0,23
2017/04/05,HTS-462291-0005,462291,Polo Shirt,23.0,2
2015/06/22,HTS-555007-0003,555007,Slacks,20.0,1
2015/07/12,HTS-90kvx6-0001,90kvx6,Polo Shirt,23.0,6
2017/03/15,HTS-465628-0005,465628,T-Shirt,17.5,1
2016/05/12,HTS-011451-0002,011451,Slacks,20.0,4
2016/09/21,HTS-699893-0003,699893,Slacks,20.0,2
2015/12/04,HTS-513913-0007,513913,T-Shirt,17.5,4
2015/07/16,HTS-229727-0001,229727,Slacks,20.0,3
2017/04/02,HTS-57q9w1-0001,57q9w1,Polo Shirt,23.0,1
2016/02/10,HTS-373544-0001,373544,Skirt,18.0,1
2015/10/05,HTS-j3mhc3-0001,j3mhc3,Shorts,19.0,1
2016/01/09,HTS-8s2p9o-0001,8s2p9o,Shorts,19.0,1
2016/02/13,HTS-06uula-0001,06uula,Skirt,18.0,12
2014/12/06,HTS-824401-0002,824401,Shorts,19.0,14
2016/05/17,HTS-842421-0001,842421,Shorts,19.0,1
2013/05/12,HTS-495783-0001,495783,Polo Shirt,23.0,2
2013/12/31,HTS-865779-0001,865779,Slacks,20.0,14
2015/03/20,HTS-881591-0002,881591,Skirt,18.0,3
2015/12/20,HTS-132539-0003,132539,Slacks,20.0,1
2014/07/03,HTS-162355-0001,162355,Polo Shirt,23.0,1
2014/03/05,HTS-141973-0002,141973,Shorts,19.0,1
2015/08/08,HTS-e3aymf-0001,e3aymf,Slacks,20.0,3
2013/09/18,HTS-212264-0001,212264,Shorts,19.0,1
2015/07/21,HTS-997668-0002,997668,Shorts,19.0,1
2015/06/03,HTS-508421-0003,508421,Shorts,19.0,1
2016/07/03,HTS-447687-0004,447687,Skirt,18.0,3
2016/03/25,HTS-338990-0004,338990,Shorts,19.0,2
2017/03/24,HTS-ocd5i4-0002,ocd5i4,Slacks,20.0,2
2014/07/24,HTS-307395-0001,307395,Polo Shirt,23.0,1
2014/10/15,HTS-767446-0002,767446,Shorts,19.0,2
